commit_id,msg
bbea3fe1b110afadbac4d6a2c183dc4d899e4ead,Initial Project Import
8a6a1a5f03d2218cccb08a50bc3e492d52e74d2e,"Compare against existing Build.VERSION_CODES.

The 1.X Android versions don't have the 2.X VERSION_CODE
symbols, so comparing against them in order to make 1.6
choices will throw runtime exceptions."
6bd229b8a140c8dd16156bec63a718cc2a7cfa0f,"Disable best-effort memory cleaner for MasterSecrets.

The best-effort memory cleaning logic for MasterSecrets
is no longer accurate, since they are being passed through
both Binder calls as well as Intents, blurring whether an
activity is using a MasterSecret which is a reference to
shared memory in the KeyCachingService or not."
f9f892998928e66329fe6cbc9716044963947d1c,Update the EULA to reflect the GPLv3 disclaimers.
6a30867fd481474e8634b508d524863bc8a6b565,Bump version to 0.5.7
4ea9348a97ed82281b1f452ff7e5e7e362524cc7,s/exoport/export
dc967a8c938ba0c90afcc7c38b84f8dbcc516beb,"Issue 17
Changed custom email pattern matching regex to android.util.Patterns.EMAIL_ADDRESS to accommodate valid email addresses the original pattern did not. (e.g. a@aaa.aa, a+aaa@aaa.aaa) This commit is to fix issue 17 (https://github.com/WhisperSystems/TextSecure/issues/17)"
c92d7f6a326962c8d209f2e49311acd6cf0779e0,"Merge pull request #25 from octet/fix_typos

s/exoprtToSd/exportToSd"
306a360f1455a8e9fbdda4bcfaed9f4c2c80fc5c,"Merge pull request #34 from cem-/master

Issue 17 - email pattern"
607d14c6d7ab1ad9e855fd4b4920544f84d5a0b6,"Bump up minimum supported Android version, add ActionBarSherlock dep.

The minimum supported Android device is now 2.2 (Froyo).
And we're embracing the ActionBarSherlock madness."
a627a77077c30a4096e38206663e0134159d148f,Remove deprecated <2.2 caching functionality that breaks modern devices.
647c41bf668a13df05209c7e1572b25d72765efb,Stop showing GPL as a weird EULA.
44c221c9f1e0fa798a5132e663146bbf958f3741,Remove non-themed theme madness.
63250b33a8fbdac7758714635f87e24d475a12c8,Switch to QuickContactBadge.
b93bb69c285d9dc32d4abdb4382bec0544dcc296,"Restyle conversation list view.

1. New look for quick contact badges.
2. No more unread indicator, replace with bolded text.
3. Style message count with color rather than parens.
4. Remove ""New Message"" item, add as item in action bar instead."
3d9475676f80a3dbd1b29f83c59e2c132fb135b5,"Move to a Fragment world.

1) Start breaking the UI out into Fragments.
2) Switch to Cursor loaders from managed cursors.
3) Switch to inflated menu resources.
4) Break out some basic functionality into helper classes."
b377fe84df3b3f711ff9f45300a425e04aaa6abc,"New design for Conversation Activity.

1) Move to Fragments for the list view.
2) Switch to CursorLoader from my jankey self-managed cursor.
3) Add session security logic to the ActionBar.
4) Fix colors to be less ugly."
1ac1cec634a9696cff025b43931e2b96c212b50a,"Update look for RecipientsPanel.

1) Make the ""add contacts"" graphic more holo-ific.
2) Adjust the graphic position on holo-themed devices."
eeeeac126c05d6b6f9dff7cbccb4d43f44abbaa4,Suppress soft keyboard on Conversation load.
a7cc47d259021833ec63deb8ec3c03d10f15a493,"Update conversation item style.

1) Don't print sender/recipient name in message body.
2) Do the split conversation icon view.
3) Adjust font sizes and colors."
c7e891eda4d121a42fb340f7957a44e8af686791,Fix passphrase prompt dialog activity.
863e1c6508899cbae28005deda405efad01b6777,"Fix the look of tabbed multi-contact selector.

1) Updated to ActionBar style.
2) Split out into fragments.
3) Switch to cursor loaders."
8e3b08ebdaf92c6be7ceb4c872de631fc9769849,Make the 'up' buttom on ConversationActivity work.
78998d0c93265a2c668df94d5240ef5f632fd7af,"Clean up key/identity verification Activites.

1) Get ride of the crazy button situation.
2) Actionbar-ify and abstract out the common actions.
3) Switch to full activities from dialog themes."
